/home/zl22853/code/GeoBS/baselines/main.py:150: DeprecationWarning: __array_wrap__ must accept context and return_scalar arguments (positionally) in the future. (Deprecated NumPy 2.0)
  lats, lons = np.radians(loc_tr[:,1]), np.radians(loc_tr[:,0])
GPU Name: NVIDIA RTX A6000
Loading nabirds_with_loc_2019.json - train
   using meta data: ebird_meta
	 22819 total entries
	 22819 entries with images
	 22599 entries with meta data
Loading nabirds_with_loc_2019.json - test
   using meta data: ebird_meta
	 24633 total entries
	 24633 entries with images
	 24411 entries with meta data
Check the radian of input data! tensor([-117,   33])
[epoch 15, batch   240] loss: 0.063
[epoch 15, batch   270] loss: 0.062
[epoch 15, batch   300] loss: 0.079
[epoch 15, batch   330] loss: 0.077
[epoch 15, batch   360] loss: 0.088
[epoch 15, batch   390] loss: 0.109
[epoch 15, batch   420] loss: 0.069
[epoch 15, batch   450] loss: 0.058
[epoch 15, batch   480] loss: 0.085
[epoch 15, batch   510] loss: 0.051
[epoch 15, batch   540] loss: 0.060
[epoch 15, batch   570] loss: 0.053
[epoch 15, batch   600] loss: 0.070
[epoch 15, batch   630] loss: 0.122
[epoch 15, batch   660] loss: 0.084
[epoch 15, batch   690] loss: 0.083
epoch 15 mean loss: 0.0779
[epoch 16, batch    30] loss: 0.083
[epoch 16, batch    60] loss: 0.083
[epoch 16, batch    90] loss: 0.084
[epoch 16, batch   120] loss: 0.065
[epoch 16, batch   150] loss: 0.083
[epoch 16, batch   180] loss: 0.053
[epoch 16, batch   210] loss: 0.071
[epoch 16, batch   240] loss: 0.105
[epoch 16, batch   270] loss: 0.081
[epoch 16, batch   300] loss: 0.079
[epoch 16, batch   330] loss: 0.058
[epoch 16, batch   360] loss: 0.050
[epoch 16, batch   390] loss: 0.092
[epoch 16, batch   420] loss: 0.120
[epoch 16, batch   450] loss: 0.058
[epoch 16, batch   480] loss: 0.108
[epoch 16, batch   510] loss: 0.067
[epoch 16, batch   540] loss: 0.087
[epoch 16, batch   570] loss: 0.081
[epoch 16, batch   600] loss: 0.062
[epoch 16, batch   630] loss: 0.059
[epoch 16, batch   660] loss: 0.119
[epoch 16, batch   690] loss: 0.059
epoch 16 mean loss: 0.0784
[epoch 17, batch    30] loss: 0.092
[epoch 17, batch    60] loss: 0.045
[epoch 17, batch    90] loss: 0.074
[epoch 17, batch   120] loss: 0.044
[epoch 17, batch   150] loss: 0.041
[epoch 17, batch   180] loss: 0.039
[epoch 17, batch   210] loss: 0.049
[epoch 17, batch   240] loss: 0.056
[epoch 17, batch   270] loss: 0.118
[epoch 17, batch   300] loss: 0.101
[epoch 17, batch   330] loss: 0.058
[epoch 17, batch   360] loss: 0.058
[epoch 17, batch   390] loss: 0.044
[epoch 17, batch   420] loss: 0.046
[epoch 17, batch   450] loss: 0.047
[epoch 17, batch   480] loss: 0.052
[epoch 17, batch   510] loss: 0.046
[epoch 17, batch   540] loss: 0.102
[epoch 17, batch   570] loss: 0.055
[epoch 17, batch   600] loss: 0.065
[epoch 17, batch   630] loss: 0.094
[epoch 17, batch   660] loss: 0.099
[epoch 17, batch   690] loss: 0.065
epoch 17 mean loss: 0.0647
[epoch 18, batch    30] loss: 0.084
[epoch 18, batch    60] loss: 0.041
[epoch 18, batch    90] loss: 0.053
[epoch 18, batch   120] loss: 0.072
[epoch 18, batch   150] loss: 0.048
[epoch 18, batch   180] loss: 0.060
[epoch 18, batch   210] loss: 0.067
[epoch 18, batch   240] loss: 0.061
[epoch 18, batch   270] loss: 0.069
[epoch 18, batch   300] loss: 0.040
[epoch 18, batch   330] loss: 0.061
[epoch 18, batch   360] loss: 0.055
[epoch 18, batch   390] loss: 0.046
[epoch 18, batch   420] loss: 0.062
[epoch 18, batch   450] loss: 0.089
[epoch 18, batch   480] loss: 0.028
[epoch 18, batch   510] loss: 0.096
[epoch 18, batch   540] loss: 0.065
[epoch 18, batch   570] loss: 0.092
[epoch 18, batch   600] loss: 0.116
[epoch 18, batch   630] loss: 0.069
[epoch 18, batch   660] loss: 0.096
[epoch 18, batch   690] loss: 0.067
epoch 18 mean loss: 0.0669
[epoch 19, batch    30] loss: 0.095
[epoch 19, batch    60] loss: 0.062
[epoch 19, batch    90] loss: 0.070
[epoch 19, batch   120] loss: 0.077
[epoch 19, batch   150] loss: 0.018
[epoch 19, batch   180] loss: 0.101
[epoch 19, batch   210] loss: 0.095
[epoch 19, batch   240] loss: 0.073
[epoch 19, batch   270] loss: 0.088
[epoch 19, batch   300] loss: 0.067
[epoch 19, batch   330] loss: 0.072
[epoch 19, batch   360] loss: 0.080
[epoch 19, batch   390] loss: 0.056
[epoch 19, batch   420] loss: 0.079
[epoch 19, batch   450] loss: 0.083
[epoch 19, batch   480] loss: 0.077
[epoch 19, batch   510] loss: 0.098
[epoch 19, batch   540] loss: 0.101
[epoch 19, batch   570] loss: 0.036
[epoch 19, batch   600] loss: 0.100
[epoch 19, batch   630] loss: 0.054
[epoch 19, batch   660] loss: 0.072
[epoch 19, batch   690] loss: 0.093
epoch 19 mean loss: 0.0754
[epoch 20, batch    30] loss: 0.039
[epoch 20, batch    60] loss: 0.080
[epoch 20, batch    90] loss: 0.067
[epoch 20, batch   120] loss: 0.084
[epoch 20, batch   150] loss: 0.088
[epoch 20, batch   180] loss: 0.077
[epoch 20, batch   210] loss: 0.040
[epoch 20, batch   240] loss: 0.053
[epoch 20, batch   270] loss: 0.051
[epoch 20, batch   300] loss: 0.056
[epoch 20, batch   330] loss: 0.079
[epoch 20, batch   360] loss: 0.085
[epoch 20, batch   390] loss: 0.079
[epoch 20, batch   420] loss: 0.057
[epoch 20, batch   450] loss: 0.082
[epoch 20, batch   480] loss: 0.086
[epoch 20, batch   510] loss: 0.032
[epoch 20, batch   540] loss: 0.114
[epoch 20, batch   570] loss: 0.095
[epoch 20, batch   600] loss: 0.066
[epoch 20, batch   630] loss: 0.035
[epoch 20, batch   660] loss: 0.066
[epoch 20, batch   690] loss: 0.053
epoch 20 mean loss: 0.0679
[epoch 21, batch    30] loss: 0.088
[epoch 21, batch    60] loss: 0.057
[epoch 21, batch    90] loss: 0.050
[epoch 21, batch   120] loss: 0.073
[epoch 21, batch   150] loss: 0.020
[epoch 21, batch   180] loss: 0.064
[epoch 21, batch   210] loss: 0.034
[epoch 21, batch   240] loss: 0.045
[epoch 21, batch   270] loss: 0.043
[epoch 21, batch   300] loss: 0.030
[epoch 21, batch   330] loss: 0.020
[epoch 21, batch   360] loss: 0.035
[epoch 21, batch   390] loss: 0.019
[epoch 21, batch   420] loss: 0.040
[epoch 21, batch   450] loss: 0.045
[epoch 21, batch   480] loss: 0.032
[epoch 21, batch   510] loss: 0.022
[epoch 21, batch   540] loss: 0.018
[epoch 21, batch   570] loss: 0.026
[epoch 21, batch   600] loss: 0.017
[epoch 21, batch   630] loss: 0.050
[epoch 21, batch   660] loss: 0.025
[epoch 21, batch   690] loss: 0.046
epoch 21 mean loss: 0.0386
[epoch 22, batch    30] loss: 0.019
[epoch 22, batch    60] loss: 0.015
[epoch 22, batch    90] loss: 0.034
[epoch 22, batch   120] loss: 0.028
[epoch 22, batch   150] loss: 0.022
[epoch 22, batch   180] loss: 0.021
[epoch 22, batch   210] loss: 0.033
[epoch 22, batch   240] loss: 0.061
[epoch 22, batch   270] loss: 0.025
[epoch 22, batch   300] loss: 0.025
[epoch 22, batch   330] loss: 0.018
[epoch 22, batch   360] loss: 0.019
[epoch 22, batch   390] loss: 0.039
[epoch 22, batch   420] loss: 0.048
[epoch 22, batch   450] loss: 0.023
[epoch 22, batch   480] loss: 0.016
[epoch 22, batch   510] loss: 0.043
[epoch 22, batch   540] loss: 0.041
[epoch 22, batch   570] loss: 0.013
[epoch 22, batch   600] loss: 0.017
[epoch 22, batch   630] loss: 0.018
[epoch 22, batch   660] loss: 0.046
[epoch 22, batch   690] loss: 0.024
epoch 22 mean loss: 0.0285
[epoch 23, batch    30] loss: 0.026
[epoch 23, batch    60] loss: 0.028
[epoch 23, batch    90] loss: 0.010
[epoch 23, batch   120] loss: 0.014
[epoch 23, batch   150] loss: 0.032
[epoch 23, batch   180] loss: 0.013
[epoch 23, batch   210] loss: 0.016
[epoch 23, batch   240] loss: 0.013
[epoch 23, batch   270] loss: 0.021
[epoch 23, batch   300] loss: 0.057
[epoch 23, batch   330] loss: 0.013
[epoch 23, batch   360] loss: 0.018
[epoch 23, batch   390] loss: 0.029
[epoch 23, batch   420] loss: 0.008
[epoch 23, batch   450] loss: 0.008
[epoch 23, batch   480] loss: 0.005
[epoch 23, batch   510] loss: 0.015
[epoch 23, batch   540] loss: 0.006
[epoch 23, batch   570] loss: 0.020
[epoch 23, batch   600] loss: 0.005
[epoch 23, batch   630] loss: 0.033
[epoch 23, batch   660] loss: 0.018
[epoch 23, batch   690] loss: 0.015
epoch 23 mean loss: 0.0183
[epoch 24, batch    30] loss: 0.015
[epoch 24, batch    60] loss: 0.009
[epoch 24, batch    90] loss: 0.024
[epoch 24, batch   120] loss: 0.012
[epoch 24, batch   150] loss: 0.034
[epoch 24, batch   180] loss: 0.034
[epoch 24, batch   210] loss: 0.038
[epoch 24, batch   240] loss: 0.020
[epoch 24, batch   270] loss: 0.014
[epoch 24, batch   300] loss: 0.039
[epoch 24, batch   330] loss: 0.026
[epoch 24, batch   360] loss: 0.012
[epoch 24, batch   390] loss: 0.025
[epoch 24, batch   420] loss: 0.030
[epoch 24, batch   450] loss: 0.017
[epoch 24, batch   480] loss: 0.047
[epoch 24, batch   510] loss: 0.050
[epoch 24, batch   540] loss: 0.046
[epoch 24, batch   570] loss: 0.058
[epoch 24, batch   600] loss: 0.046
[epoch 24, batch   630] loss: 0.037
[epoch 24, batch   660] loss: 0.017
[epoch 24, batch   690] loss: 0.044
epoch 24 mean loss: 0.0303
[epoch 25, batch    30] loss: 0.027
[epoch 25, batch    60] loss: 0.028
[epoch 25, batch    90] loss: 0.012
[epoch 25, batch   120] loss: 0.019
[epoch 25, batch   150] loss: 0.039
[epoch 25, batch   180] loss: 0.011
[epoch 25, batch   210] loss: 0.057
[epoch 25, batch   240] loss: 0.017
[epoch 25, batch   270] loss: 0.006
[epoch 25, batch   300] loss: 0.009
[epoch 25, batch   330] loss: 0.009
[epoch 25, batch   360] loss: 0.020
[epoch 25, batch   390] loss: 0.014
[epoch 25, batch   420] loss: 0.062
[epoch 25, batch   450] loss: 0.044
[epoch 25, batch   480] loss: 0.018
[epoch 25, batch   510] loss: 0.020
[epoch 25, batch   540] loss: 0.013
[epoch 25, batch   570] loss: 0.023
[epoch 25, batch   600] loss: 0.016
[epoch 25, batch   630] loss: 0.029
[epoch 25, batch   660] loss: 0.032
[epoch 25, batch   690] loss: 0.018
epoch 25 mean loss: 0.0236
[epoch 26, batch    30] loss: 0.013
[epoch 26, batch    60] loss: 0.018
[epoch 26, batch    90] loss: 0.018
[epoch 26, batch   120] loss: 0.023
[epoch 26, batch   150] loss: 0.025
[epoch 26, batch   180] loss: 0.037
[epoch 26, batch   210] loss: 0.007
[epoch 26, batch   240] loss: 0.039
[epoch 26, batch   270] loss: 0.036
[epoch 26, batch   300] loss: 0.015
[epoch 26, batch   330] loss: 0.016
[epoch 26, batch   360] loss: 0.021
[epoch 26, batch   390] loss: 0.035
[epoch 26, batch   420] loss: 0.012
[epoch 26, batch   450] loss: 0.021
[epoch 26, batch   480] loss: 0.019
[epoch 26, batch   510] loss: 0.040
[epoch 26, batch   540] loss: 0.030
[epoch 26, batch   570] loss: 0.019
[epoch 26, batch   600] loss: 0.032
[epoch 26, batch   630] loss: 0.015
[epoch 26, batch   660] loss: 0.009
[epoch 26, batch   690] loss: 0.004
epoch 26 mean loss: 0.0216
[epoch 27, batch    30] loss: 0.014
[epoch 27, batch    60] loss: 0.014
[epoch 27, batch    90] loss: 0.014
[epoch 27, batch   120] loss: 0.016
[epoch 27, batch   150] loss: 0.011
[epoch 27, batch   180] loss: 0.021
[epoch 27, batch   210] loss: 0.039
[epoch 27, batch   240] loss: 0.020
[epoch 27, batch   270] loss: 0.007
[epoch 27, batch   300] loss: 0.016
[epoch 27, batch   330] loss: 0.021
[epoch 27, batch   360] loss: 0.002
[epoch 27, batch   390] loss: 0.007
[epoch 27, batch   420] loss: 0.008
[epoch 27, batch   450] loss: 0.008
[epoch 27, batch   480] loss: 0.016
[epoch 27, batch   510] loss: 0.010
[epoch 27, batch   540] loss: 0.022
[epoch 27, batch   570] loss: 0.021
[epoch 27, batch   600] loss: 0.008
[epoch 27, batch   630] loss: 0.012
[epoch 27, batch   660] loss: 0.005
[epoch 27, batch   690] loss: 0.027
epoch 27 mean loss: 0.0150
[epoch 28, batch    30] loss: 0.025
[epoch 28, batch    60] loss: 0.018
[epoch 28, batch    90] loss: 0.011
[epoch 28, batch   120] loss: 0.005
[epoch 28, batch   150] loss: 0.002
[epoch 28, batch   180] loss: 0.007
[epoch 28, batch   210] loss: 0.028
[epoch 28, batch   240] loss: 0.026
[epoch 28, batch   270] loss: 0.006
[epoch 28, batch   300] loss: 0.008
[epoch 28, batch   330] loss: 0.007
[epoch 28, batch   360] loss: 0.002
[epoch 28, batch   390] loss: 0.012
[epoch 28, batch   420] loss: 0.005
[epoch 28, batch   450] loss: 0.025
[epoch 28, batch   480] loss: 0.008
[epoch 28, batch   510] loss: 0.011
[epoch 28, batch   540] loss: 0.003
[epoch 28, batch   570] loss: 0.006
[epoch 28, batch   600] loss: 0.016
[epoch 28, batch   630] loss: 0.020
[epoch 28, batch   660] loss: 0.008
[epoch 28, batch   690] loss: 0.011
epoch 28 mean loss: 0.0123
[epoch 29, batch    30] loss: 0.024
[epoch 29, batch    60] loss: 0.003
